datetime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,open,high,low,close,volume
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,7195.24,7196.25,7175.46,7177.02,511.814901
2020-01-01 01:00:00,1.0,1.0,1.0,1.0,7176.47,7230.0,7175.71,7216.27,883.052603
2020-01-01 02:00:00,2.0,2.0,2.0,2.0,7215.52,7244.87,7211.41,7242.85,655.156809
2020-01-01 03:00:00,3.0,3.0,3.0,3.0,7242.66,7245.0,7220.0,7225.01,783.724867
2020-01-01 04:00:00,4.0,4.0,4.0,4.0,7225.0,7230.0,7215.03,7217.27,467.812578
2020-01-01 05:00:00,5.0,5.0,5.0,5.0,7217.26,7229.76,7216.65,7224.21,344.670596
2020-01-01 06:00:00,6.0,6.0,6.0,6.0,7224.24,7236.27,7221.51,7225.62,621.467023
2020-01-01 07:00:00,7.0,7.0,7.0,7.0,7225.88,7232.94,7199.11,7209.83,627.344854
2020-01-01 08:00:00,8.0,8.0,8.0,8.0,7209.83,7210.0,7180.0,7200.64,915.545974
2020-01-01 09:00:00,9.0,9.0,9.0,9.0,7200.29,7210.51,7188.0,7188.77,636.386102
2020-01-01 10:00:00,10.0,10.0,10.0,10.0,7189.07,7210.0,7185.2,7202.0,537.762804
2020-01-01 11:00:00,11.0,11.0,11.0,11.0,7202.01,7237.73,7188.61,7197.2,1076.959481
2020-01-01 12:00:00,12.0,12.0,12.0,12.0,7197.2,7233.33,7196.15,7225.59,868.75358
2020-01-01 13:00:00,13.0,13.0,13.0,13.0,7225.84,7231.89,7212.88,7221.2,612.180902
2020-01-01 14:00:00,14.0,14.0,14.0,14.0,7221.17,7234.97,7208.17,7221.43,617.714185
2020-01-01 15:00:00,15.0,15.0,15.0,15.0,7221.6,7255.0,7218.29,7234.19,1393.888792
2020-01-01 16:00:00,16.0,16.0,16.0,16.0,7234.2,7246.42,7214.0,7245.37,881.93278
2020-01-01 17:00:00,17.0,17.0,17.0,17.0,7244.34,7249.99,7224.92,7236.83,1069.210567
2020-01-01 18:00:00,18.0,18.0,18.0,18.0,7237.02,7246.72,7225.17,7240.67,611.693307
2020-01-01 19:00:00,19.0,19.0,19.0,19.0,7240.8,7241.0,7225.49,7229.48,417.746637
2020-01-01 20:00:00,20.0,20.0,20.0,20.0,7229.48,7242.98,7224.68,7236.73,391.834174
2020-01-01 21:00:00,21.0,21.0,21.0,21.0,7237.26,7242.75,7227.0,7233.17,285.454078
2020-01-01 22:00:00,22.0,22.0,22.0,22.0,7233.32,7234.49,7186.0,7197.99,769.030411
2020-01-01 23:00:00,23.0,23.0,23.0,23.0,7197.62,7204.17,7175.15,7200.85,811.25016
2020-01-02 00:00:00,24.0,24.0,24.0,24.0,7200.77,7212.5,7185.46,7211.02,391.352377
2020-01-02 01:00:00,25.0,25.0,25.0,25.0,7211.04,7211.16,7185.11,7190.99,402.660139
2020-01-02 02:00:00,26.0,26.0,26.0,26.0,7190.99,7191.0,7155.35,7169.02,1387.377886
2020-01-02 03:00:00,27.0,27.0,27.0,27.0,7169.04,7169.06,7120.37,7129.61,1557.96443
2020-01-02 04:00:00,28.0,28.0,28.0,28.0,7129.25,7161.0,7116.7,7142.21,1252.447877
2020-01-02 05:00:00,29.0,29.0,29.0,29.0,7142.61,7152.05,7126.93,7138.93,569.50899
2020-01-02 06:00:00,30.0,30.0,30.0,30.0,7138.93,7149.02,7121.43,7135.97,687.600665
2020-01-02 07:00:00,31.0,31.0,31.0,31.0,7136.04,7140.63,7105.0,7110.57,1548.403823
2020-01-02 08:00:00,32.0,32.0,32.0,32.0,7110.98,7157.48,7109.11,7154.36,1114.825128
